Semana,ABDON BATISTA,ABELARDO LUZ,ALFREDO WAGNER,ALTO BELA VISTA,ANCHIETA,ANITÁPOLIS,ANTÔNIO CARLOS,APIÚNA,ARABUTÃ,ARAQUARI,ARARANGUÁ,ARROIO TRINTA,ARVOREDO,ASCURRA,AURORA,BALNEÁRIO BARRA DO SUL,BALNEÁRIO CAMBORIÚ,BALNEÁRIO GAIVOTA,BALNEÁRIO PIÇARRAS,BALNEÁRIO RINCÃO,BANDEIRANTE,BARRA BONITA,BARRA VELHA,BELMONTE,BENEDITO NOVO,BIGUAÇU,BLUMENAU,BOM JARDIM DA SERRA,BOM JESUS,BOM JESUS DO OESTE,BOMBINHAS,BOTUVERÁ,BRAÇO DO NORTE,BRUSQUE,CAIBI,CAMBORIÚ,CAMPO ALEGRE,CAMPO ERÊ,CAMPOS NOVOS,CANELINHA,CANOINHAS,CAPINZAL,CAPIVARI DE BAIXO,CAPÃO ALTO,CATANDUVAS,CAXAMBU DO SUL,CAÇADOR,CELSO RAMOS,CHAPECÓ,COCAL DO SUL,CONCÓRDIA,CORDILHEIRA ALTA,CORONEL FREITAS,CORONEL MARTINS,CORREIA PINTO,CORUPÁ,CRICIÚMA,CUNHA PORÃ,CUNHATAÍ,CURITIBANOS,DESCANSO,DIONÍSIO CERQUEIRA,DOUTOR PEDRINHO,ENTRE RIOS,ERVAL VELHO,FAXINAL DOS GUEDES,FLOR DO SERTÃO,FLORIANÓPOLIS,FORMOSA DO SUL,FORQUILHINHA,FRAIBURGO,GALVÃO,GAROPABA,GARUVA,GASPAR,GOVERNADOR CELSO RAMOS,GRAVATAL,GUABIRUBA,GUARACIABA,GUARAMIRIM,GUARUJÁ DO SUL,GUATAMBÚ,HERVAL D'OESTE,IBICARÉ,IBIRAMA,ILHOTA,IMARUÍ,IMBITUBA,IMBUIA,INDAIAL,IOMERÊ,IPIRA,IPORÃ DO OESTE,IPUAÇU,IPUMIRIM,IRACEMINHA,IRANI,IRATI,IRINEÓPOLIS,ITAJAÍ,ITAPEMA,ITAPIRANGA,ITAPOÁ,ITUPORANGA,ITÁ,IÇARA,JABORÁ,JAGUARUNA,JARAGUÁ DO SUL,JARDINÓPOLIS,JOAÇABA,JOINVILLE,JOSÉ BOITEUX,JUPIÁ,LACERDÓPOLIS,LAGES,LAGUNA,LAJEADO GRANDE,LAURENTINO,LAURO MÜLLER,LEOBERTO LEAL,LINDÓIA DO SUL,LONTRAS,LUIZ ALVES,LUZERNA,MAFRA,MAJOR GERCINO,MARACAJÁ,MARAVILHA,MAREMA,MASSARANDUBA,MODELO,MONDAÍ,MORRO DA FUMAÇA,NAVEGANTES,NOVA ERECHIM,NOVA ITABERABA,NOVA TRENTO,NOVA VENEZA,NOVO HORIZONTE,ORLEANS,OURO,OURO VERDE,PAIAL,PALHOÇA,PALMA SOLA,PALMITOS,PAPANDUVA,PARAÍSO,PASSO DE TORRES,PASSOS MAIA,PAULO LOPES,PENHA,PERITIBA,PINHALZINHO,PIRATUBA,PLANALTO ALEGRE,POMERODE,PONTE ALTA,PONTE SERRADA,PORTO BELO,PORTO UNIÃO,POUSO REDONDO,PRESIDENTE GETÚLIO,PRESIDENTE NEREU,PRINCESA,QUILOMBO,RANCHO QUEIMADO,RIO DO OESTE,RIO DO SUL,RIO DOS CEDROS,RIO NEGRINHO,RIQUEZA,RODEIO,ROMELÂNDIA,SALETE,SALTINHO,SALTO VELOSO,SANTA HELENA,SANTA TEREZINHA,SANTA TEREZINHA DO PROGRESSO,SANTIAGO DO SUL,SANTO AMARO DA IMPERATRIZ,SAUDADES,SCHROEDER,SEARA,SERRA ALTA,SOMBRIO,SUL BRASIL,SÃO BENTO DO SUL,SÃO BERNARDINO,SÃO BONIFÁCIO,SÃO CARLOS,SÃO DOMINGOS,SÃO FRANCISCO DO SUL,SÃO JOSÉ,SÃO JOSÉ DO CEDRO,SÃO JOÃO BATISTA,SÃO JOÃO DO ITAPERIÚ,SÃO JOÃO DO OESTE,SÃO LOURENÇO DO OESTE,SÃO LUDGERO,SÃO MIGUEL DA BOA VISTA,SÃO MIGUEL DO OESTE,SÃO PEDRO DE ALCÂNTARA,TAIÓ,TANGARÁ,TIGRINHOS,TIJUCAS,TIMBÓ,TREZE TÍLIAS,TROMBUDO CENTRAL,TUBARÃO,TUNÁPOLIS,UNIÃO DO OESTE,URUBICI,URUSSANGA,VARGEM BONITA,VARGEÃO,VIDAL RAMOS,VIDEIRA,XANXERÊ,XAVANTINA,XAXIM,ZORTÉA,ÁGUA DOCE,ÁGUAS DE CHAPECÓ,ÁGUAS FRIAS,ÁGUAS MORNAS,AGROLÂNDIA,AGRONÔMICA,ANGELINA,ARMAZÉM,BALNEÁRIO ARROIO DO SILVA,BELA VISTA DO TOLDO,BOM RETIRO,BRAÇO DO TROMBUDO,CALMON,CAMPO BELO DO SUL,CHAPADÃO DO LAGEADO,DONA EMMA,ERMO,GRÃO-PARÁ,IBIAM,ITAIÓPOLIS,JACINTO MACHADO,LEBON RÉGIS,MACIEIRA,MAJOR VIEIRA,MELEIRO,MIRIM DOCE,MONTE CARLO,MONTE CASTELO,MORRO GRANDE,OTACÍLIO COSTA,PEDRAS GRANDES,PESCARIA BRAVA,PETROLÂNDIA,PINHEIRO PRETO,PRESIDENTE CASTELLO BRANCO,RIO DAS ANTAS,RIO DO CAMPO,RIO FORTUNA,RIO RUFINO,SANGÃO,SANTA CECÍLIA,SANTA ROSA DE LIMA,SANTA ROSA DO SUL,SIDERÓPOLIS,SÃO CRISTÓVÃO DO SUL,SÃO JOAQUIM,SÃO MARTINHO,TIMBÉ DO SUL,TIMBÓ GRANDE,TREVISO,TREZE DE MAIO,TRÊS BARRAS,TURVO,VARGEM,VITOR MEIRELES,WITMARSUM
2025-07-06,0,0,0,0,0,0,4,0,0,24,1,0,0,0,0,14,66,2,3,0,0,0,17,0,1,30,64,0,0,0,32,0,1,13,0,23,0,0,0,4,0,0,0,0,0,1,8,0,38,0,2,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,125,0,0,0,0,1,9,5,2,0,1,0,14,0,0,1,0,1,4,0,1,0,7,0,0,0,1,0,0,0,0,0,202,11,1,46,0,0,0,0,0,52,0,2,260,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,9,0,3,0,0,2,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,16,103,0,1,0,0,0,0,0,4,0,0,0,0,27,3,0,0,1,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-20,0,0,0,0,1,0,5,0,0,22,2,0,0,0,0,12,71,3,3,0,0,0,12,0,1,24,70,0,0,0,42,0,1,17,0,24,0,0,1,3,0,0,0,0,0,1,7,0,51,0,1,0,1,0,0,5,5,2,0,0,0,0,0,0,0,0,0,116,0,0,0,0,1,10,6,1,0,1,0,15,0,0,1,0,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,159,11,0,48,0,0,0,0,0,50,0,1,245,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,49,0,0,0,0,2,0,0,10,0,4,0,0,1,0,0,16,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,2,0,0,0,0,15,100,0,1,0,0,1,0,0,1,1,0,0,0,28,6,0,1,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27,0,0,0,0,0,0,4,0,0,16,1,0,0,0,0,13,66,3,3,0,0,0,14,0,1,24,74,0,0,0,32,0,2,10,1,26,0,0,0,2,0,0,0,0,0,0,5,0,64,0,5,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,118,0,0,0,0,1,17,14,4,0,0,0,11,0,1,0,0,1,12,0,2,0,14,0,0,0,0,0,0,0,0,1,208,10,0,47,0,0,0,0,0,50,0,3,248,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,6,0,3,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,7,1,0,0,0,4,0,0,0,0,16,102,0,2,0,0,2,1,0,3,0,0,0,0,25,5,0,0,1,0,0,0,0,0,0,0,9,7,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-03,0,1,0,0,0,0,2,0,0,18,1,0,0,0,0,9,44,2,4,0,0,0,16,0,0,24,70,0,0,0,26,0,2,10,0,21,0,0,0,2,0,0,1,0,0,0,5,0,54,0,1,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,110,0,0,0,0,1,6,7,1,0,0,0,9,0,2,0,0,1,6,0,1,0,7,0,0,0,0,0,0,0,0,0,181,8,0,40,0,0,0,0,0,53,0,2,240,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,4,0,0,0,0,13,97,0,0,0,0,1,0,0,2,0,0,0,0,21,5,0,0,1,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-10,0,1,0,0,0,0,1,0,0,19,2,0,0,0,0,6,41,2,4,0,0,0,13,0,0,21,50,0,0,0,23,0,4,13,0,18,0,0,0,2,0,1,1,0,0,0,7,0,48,0,2,1,0,0,0,1,5,1,0,0,0,0,0,0,0,1,0,93,0,0,0,1,1,4,10,4,0,0,0,12,0,2,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,120,9,2,29,0,0,0,0,0,41,0,1,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,23,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0,4,0,0,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,3,0,0,0,0,7,89,0,1,0,0,1,0,0,3,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-17,0,0,0,0,0,0,5,0,0,22,0,0,0,0,0,13,52,3,4,0,0,0,9,0,0,29,75,0,0,0,34,0,8,12,0,14,0,0,0,2,0,0,2,0,0,0,8,0,65,0,4,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,79,0,0,0,0,0,23,8,5,0,0,0,14,0,0,1,0,1,7,0,0,0,3,0,0,0,0,0,0,0,0,0,190,9,0,44,0,0,0,0,0,56,0,2,233,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,0,1,0,2,21,0,3,0,0,0,0,0,0,0,3,0,0,5,0,0,14,3,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,3,0,0,0,0,5,73,0,3,0,0,1,3,0,8,0,0,0,0,24,3,0,0,1,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-24,0,1,0,0,0,0,5,0,0,9,1,1,0,0,0,7,58,1,3,0,0,0,8,0,0,24,67,0,0,0,54,0,8,7,0,11,0,0,0,1,0,3,1,0,0,0,9,0,32,0,4,0,0,0,0,2,5,1,0,0,1,0,0,0,0,0,0,93,0,0,0,0,0,5,7,1,1,0,0,11,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,150,8,0,40,0,0,0,0,2,38,0,3,296,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,0,0,2,0,0,19,0,0,0,0,2,0,0,12,0,7,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,95,0,0,0,0,0,0,0,1,0,0,0,0,18,4,1,0,1,0,0,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-31,0,0,0,0,1,0,5,0,0,10,1,1,0,0,0,8,37,1,2,0,0,0,8,0,0,17,61,0,0,0,49,0,5,10,0,20,0,0,0,1,0,6,2,0,0,0,17,0,33,0,3,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,68,0,0,0,0,1,4,7,3,0,0,0,10,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,103,5,1,29,0,0,0,0,0,35,0,1,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,18,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,7,0,4,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,4,63,0,0,0,0,0,0,0,2,0,0,0,0,21,6,0,0,2,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-07,0,0,0,0,0,0,6,0,0,17,0,0,0,2,0,13,58,1,4,0,0,0,12,0,0,25,60,0,0,0,20,0,10,15,0,32,0,0,0,2,0,0,1,0,0,1,22,0,48,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,49,0,0,0,0,1,18,10,7,0,1,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,130,3,5,27,0,0,0,0,1,38,0,1,243,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,4,0,4,0,0,1,0,1,15,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,2,0,0,0,0,11,55,0,2,0,0,0,0,0,1,0,0,1,0,15,3,0,0,5,0,1,0,0,0,0,0,2,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-14,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,11,62,2,4,0,0,0,9,0,0,24,73,0,0,0,36,0,10,12,0,13,0,0,0,1,0,2,1,0,0,0,6,0,79,0,3,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,106,0,0,0,0,0,20,11,5,0,0,0,13,0,0,0,0,3,10,0,0,0,10,0,0,0,0,0,0,0,0,0,167,8,0,46,0,0,0,0,0,39,0,2,282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0,0,1,0,1,24,0,1,0,0,0,0,0,9,0,7,0,0,6,0,0,14,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,3,0,0,0,0,5,100,0,3,0,0,0,2,0,7,0,0,0,0,23,3,1,0,0,0,0,0,0,0,0,0,11,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
